Номер,Иврит с огласовками,Русский перевод,Категория,Имя аудиофайла,Рекомендуемый голос
595,"אֲנִי קוֹנֶה לֶחֶם בַּמַּכּוֹלֶת.","Я покупаю хлеб в продуктовом магазине.","Глаголы","s_8d61e5e48ae0.mp3","Мужской"
596,"אֲנִי רוֹצֶה לִשְׁתּוֹת מַיִם.","Я хочу пить воду.","Глаголы","s_8aea433bf2b3.mp3","Мужской"
597,"אֲנִי שׁוֹתֶה קָפֶה חַם.","Я пью горячий кофе.","Глаголы","s_025677454b4c.mp3","Мужской"
598,"מָה אַתָּה עוֹשֶׂה עַכְשָׁיו?","Что ты делаешь сейчас?","Глаголы","s_80bfc1049149.mp3","Мужской"
599,"אֲנִי רוֹאֶה סֶרֶט טוֹב.","Я смотрю хороший фильм.","Глаголы","s_1ae767c9d013.mp3","Мужской"
600,"הוּא קוֹנֶה סֵפֶר חָדָשׁ.","Он покупает новую книгу.","Глаголы","s_68ae9be4982b.mp3","Мужской"
601,"יֵשׁ עָשׁ בַּאֲרוֹן הַבְּגָדִים.","В шкафу для одежды есть моль.","Глаголы","s_da2a749993b2.mp3","Мужской"
602,"הֵם רוֹאִים אֶת הַיָּם.","Они видят море.","Глаголы","s_4e86122bf4a1.mp3","Женский"
603,"אֶתְמוֹל הָיִיתִי בְּתֵל אָבִיב.","Вчера я был в Тель-Авиве.","Глаголы","s_2a74be48a5d2.mp3","Мужской"
604,"הוּא הָיָה פֹּה אֶתְמוֹל.","Он был здесь вчера.","Глаголы","s_49695dfa10a1.mp3","Мужской"
605,"הִיא הָיְתָה בַּבַּיִת אֶתְמוֹל.","Она была дома вчера.","Глаголы","s_5fbfd35623e6.mp3","Женский"
606,"הֵם הָיוּ שָׁם אֶתְמוֹל.","Они были там вчера.","Глаголы","s_af2dca31f494.mp3","Мужской"
607,"הוּא הֵבִין אֶת הַכֹּל.","Он всё понял.","Глаголы","s_b0f187010644.mp3","Женский"
608,"אֲנִי מַמְשִׁיךְ לִלְמוֹד עִבְרִית.","Я продолжаю учить иврит.","Глаголы","s_383c5aba98b3.mp3","Мужской"
609,"מָחָר אֶכְתּוֹב מִכְתָּב חָדָשׁ.","Завтра я напишу новое письмо.","Глаголы","s_2b46ee2b031c.mp3","Мужской"
610,"מָחָר אֶלְמַד מִילִּים חֲדָשׁוֹת.","Завтра я буду учить новые слова.","Глаголы","s_83169bc3f0f2.mp3","Мужской"
611,"מָחָר אֶעֱבוֹד כָּל הַיּוֹם.","Завтра я буду работать целый день.","Глаголы","s_de37f3cdb334.mp3","Мужской"
612,"מָחָר נִכְתּוֹב אֶת הַמִּבְחָן.","Завтра мы напишем тест.","Глаголы","s_13e414f1480c.mp3","Женский"
613,"בְּקָרוֹב נִפְגּוֹשׁ אֶת הַחֲבֵרִים.","Скоро мы встретим друзей.","Глаголы","s_7ee663b38488.mp3","Женский"
614,"דָּנִי כּוֹתֵב מִכְתָּב לַחֲבֵרָה.","Дани пишет письмо подруге.","Глаголы","s_daa7f226d228.mp3","Мужской"
615,"הַתַּלְמִיד כּוֹתֵב שִׁיעוּרֵי בַּיִת.","Ученик пишет домашнее задание.","Глаголы","s_f6899d6215d6.mp3","Мужской"
616,"הַסּוֹפֵר כּוֹתֵב סֵפֶר חָדָשׁ.","Писатель пишет новую книгу.","Глаголы","s_b4d397938735.mp3","Мужской"
617,"הוּא לוֹמֵד עִבְרִית בָּאוּלְפָּן.","Он учит иврит в ульпане.","Глаголы","s_b649b8fc818e.mp3","Мужской"
618,"הוּא שׁוֹמֵעַ מוּזִיקָה בַּחֶדֶר.","Он слушает музыку в комнате.","Глаголы","s_8726aadb5cbc.mp3","Мужской"
619,"הוּא עוֹבֵד בַּמִּשְׂרָד הַיּוֹם.","Он работает в офисе сегодня.","Глаголы","s_005ac5390b22.mp3","Мужской"
620,"דָּנִי פּוֹגֵשׁ חָבֵר בַּקָּפֶה.","Дани встречает друга в кафе.","Глаголы","s_d5c7307a3611.mp3","Мужской"
621,"הוּא סוֹגֵר אֶת הַדֶּלֶת.","Он закрывает дверь.","Глаголы","s_6c6f7723451d.mp3","Женский"
622,"הוּא רוֹאֶה סֶרֶט בַּטֶּלֶוִויזְיָה.","Он смотрит фильм по телевизору.","Глаголы","s_664cbd95a1b3.mp3","Мужской"
623,"יוֹסִי כּוֹתֵב בַּמַּחְבֶּרֶת שֶׁלּוֹ.","Йоси пишет в своей тетради.","Глаголы","s_515615db4f9e.mp3","Мужской"
624,"אַבָּא כּוֹתֵב מִכְתָּב עַכְשָׁו.","Папа пишет письмо сейчас.","Глаголы","s_b8aa62b083a8.mp3","Мужской"
625,"הַיֶּלֶד לוֹמֵד בְּבֵית הַסֵּפֶר.","Мальчик учится в школе.","Глаголы","s_edffc963d586.mp3","Мужской"
626,"הַסְטוּדֶנְט לוֹמֵד הַרְבֵּה בַּלַּיְלָה.","Студент много учится ночью.","Глаголы","s_53716963def3.mp3","Мужской"
627,"הָרוֹפֵא עוֹבֵד בְּבֵית חוֹלִים.","Врач работает в больнице.","Глаголы","s_fbbdbb9e3fdb.mp3","Мужской"
628,"דָּנִי עוֹבֵד שָׁעוֹת רַבּוֹת.","Дани работает много часов.","Глаголы","s_4807c37a7d90.mp3","Мужской"
629,"הוּא סוֹגֵר אֶת הַחַלּוֹן.","Он закрывает окно.","Глаголы","s_eac573c83a5f.mp3","Женский"
630,"הוּא מְפַתֵּחַ תּוֹכְנִית חֲדָשָׁה.","Он разрабатывает новую программу.","Глаголы","s_d33e55c5b8a8.mp3","Мужской"
631,"הַיֶּלֶד שׁוֹמֵעַ אֶת הַקּוֹל.","Мальчик слышит этот голос.","Глаголы","s_596bf14ed98b.mp3","Женский"
632,"הוּא עוֹזֵר לְאִמָּא בַּבַּיִת.","Он помогает маме дома.","Глаголы","s_72106e3aa378.mp3","Мужской"
633,"הוּא גָּר בְּתֵל אָבִיב.","Он живёт в Тель-Авиве.","Глаголы","s_c48987406be3.mp3","Мужской"
634,"הוּא קָם מוּקְדָּם בַּבּוֹקֶר.","Он встаёт рано утром.","Глаголы","s_de63402eb69f.mp3","Мужской"
635,"דָּנִי בָּא לַבַּיִת עַכְשָׁו.","Дани идёт домой сейчас.","Глаголы","s_39a8943427f2.mp3","Мужской"
636,"הוּא בָּא לְבַקֵּר אוֹתִי.","Он приходит навестить меня.","Глаголы","s_d165c0b50841.mp3","Мужской"
637,"הָאוֹרֵחַ בָּא בָּעֶרֶב תָּמִיד.","Гость всегда приходит вечером.","Глаголы","s_8ec4a48b1ebe.mp3","Мужской"
638,"הַחָבֵר בָּא לַמְּסִיבָּה הַיּוֹם.","Друг приходит на вечеринку сегодня.","Глаголы","s_ac4199ac39c4.mp3","Мужской"
639,"הוּא טָס לְאֵירוֹפָּה הַיּוֹם.","Он летит в Европу сегодня.","Глаголы","s_1762ec655e8d.mp3","Мужской"
640,"אַבָּא נָח עַל הַסַּפָּה.","Папа отдыхает на диване.","Глаголы","s_42af9c237e83.mp3","Мужской"
641,"הוּא רָץ בַּפַּארְק בַּבּוֹקֶר.","Он бегает в парке утром.","Глаголы","s_3ef205858b51.mp3","Мужской"
642,"יֵשׁ כָּאן אֵשׁ גְּדוֹלָה.","Здесь есть большой огонь.","Глаголы","s_c0a4dd5f3036.mp3","Мужской"
643,"הַסֵּפֶר נִקְנֶה בַּחֲנוּת הַיּוֹם.","Книга покупается в магазине сегодня.","Глаголы","s_edb8b25a97ae.mp3","Мужской"
644,"דָּנִי רוֹצֶה כּוֹס קָפֶה.","Дани хочет чашку кофе.","Глаголы","s_9085110393f9.mp3","Мужской"
645,"הוּא עוֹשֶׂה עֲבוֹדָה טוֹבָה.","Он делает хорошую работу.","Глаголы","s_38d92fde52dd.mp3","Мужской"
646,"הַכֹּל נַעֲשֶׂה בְּבֵית הַסֵּפֶר.","Всё делается в школе.","Глаголы","s_b68af73c5989.mp3","Мужской"
647,"הַתֵּה נִשְׁתֶּה בַּבּוֹקֶר תָּמִיד.","Чай выпивается утром всегда.","Глаголы","s_8701e7490abc.mp3","Мужской"
648,"דָּנִי רוֹאֶה תְּמוּנָה יָפָה.","Дани видит красивую картину.","Глаголы","s_f24133b87c36.mp3","Мужской"
649,"הַפַּחַד מְאַבֵּן אֶת הָאִישׁ.","Страх парализует этого человека.","Глаголы","s_4dfe1cee7f53.mp3","Женский"
650,"הוּא נִדְבָּר עִם הַמּוֹרֶה.","Он договаривается с учителем.","Глаголы","s_54d1b8272816.mp3","Мужской"
651,"זֶה עֵץ אֵשֶׁל גָּבוֹהַּ.","Это высокое дерево тамариск.","Глаголы","s_3810229721a9.mp3","Мужской"
652,"הוּא מְסַדֵּר אֶת הַחֶדֶר.","Он наводит порядок в комнате.","Глаголы","s_6d1a6278ff22.mp3","Женский"
653,"אֲנִי מְבַקֵּשׁ כּוֹס מַיִם.","Я прошу стакан воды.","Глаголы","s_287de51a007a.mp3","Мужской"
654,"הוּא מְחַפֵּשׂ עֲבוֹדָה חֲדָשָׁה.","Он ищет новую работу.","Глаголы","s_14fd679af553.mp3","Мужской"
655,"הוּא מְקַבֵּל הוֹדָעָה חֲדָשָׁה.","Он получает новое сообщение.","Глаголы","s_c161be0e1736.mp3","Мужской"
656,"הוּא מְבַקֵּר אֶת הַמִּשְׁפָּחָה.","Он навещает семью.","Глаголы","s_c7ab9b4a5ea1.mp3","Женский"
657,"הוּא מְתַקֵּן אֶת הַמַּחְשֵׁב.","Он чинит компьютер.","Глаголы","s_7e2fb76e0e30.mp3","Женский"
658,"הוּא מַזְמִין שׁוּלְחָן בַּמִּסְעָדָה.","Он заказывает столик в ресторане.","Глаголы","s_72acd8966d3f.mp3","Мужской"
659,"הַסֶּרֶט מַתְחִיל בְּשֶׁבַע בָּעֶרֶב.","Фильм начинается в семь вечера.","Глаголы","s_5ea7ec7d4362.mp3","Мужской"
660,"אֲנִי מַרְגִּישׁ מְצוּיָן הַיּוֹם.","Я чувствую себя отлично сегодня.","Глаголы","s_45429c606b28.mp3","Мужской"
661,"הוּא מַכִּיר אֶת הַמּוֹרֶה.","Он знает учителя.","Глаголы","s_3285aded05b6.mp3","Женский"
662,"הַמּוֹרֶה מַסְבִּיר אֶת הַחוֹמֶר.","Учитель объясняет материал.","Глаголы","s_e56ad8af038b.mp3","Женский"
663,"יֵשׁ לָהּ נֶמֶשׁ קָטָן.","У неё есть маленькая веснушка.","Глаголы","s_bdd5a0a630bb.mp3","Мужской"
664,"הוּא מַגִּיעַ הַבַּיְתָה בָּעֶרֶב.","Он приходит домой вечером.","Глаголы","s_2bbabb18a4fd.mp3","Мужской"
665,"הוּא מַצְלִיחַ בַּמִּבְחָן הַקָּשֶׁה.","Он успешно сдаёт трудный экзамен.","Глаголы","s_4e6f8c549d5c.mp3","Мужской"
666,"הוּא מִתְרַגֵּשׁ לִפְנֵי הַמִּבְחָן.","Он волнуется перед экзаменом.","Глаголы","s_dd9c38634ffd.mp3","Мужской"
667,"דָּנִי מִתְחַתֵּן עִם שָׂרָה.","Дани женится на Саре.","Глаголы","s_ef2c09c80a8b.mp3","Мужской"
668,"הוּא מִשְׁתַּדֵּל לְהַגִּיעַ בִּזְמַן.","Он старается приходить вовремя.","Глаголы","s_5a4d1b441a5b.mp3","Мужской"
669,"הוּא מִצְטָרֵךְ לָלֶכֶת עַכְשָׁו.","Он вынужден идти сейчас.","Глаголы","s_55e469eed23b.mp3","Мужской"
670,"הוּא מְתַרְגֵּל עִבְרִית הַיּוֹם.","Он тренирует иврит сегодня.","Глаголы","s_f8c1bdc65e40.mp3","Мужской"
671,"הוּא מִשְׁתַּמֵּשׁ בַּמַּחְשֵׁב הַזֶּה.","Он пользуется этим компьютером.","Глаголы","s_0ffd3c38fb38.mp3","Мужской"
672,"הוּא מִתְרַעְנֵן בַּמַּיִם הַקָּרִים.","Он освежается в холодной воде.","Глаголы","s_e3c40c93be8a.mp3","Мужской"
673,"הוּא חוֹסֵךְ כֶּסֶף לְדִירָה.","Он копит деньги на квартиру.","Глаголы","s_3392d8b5eb94.mp3","Мужской"
